task;hash;inputs;inputSize;outputs;outputSize;usedBy
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (OSMOTIC_STRESS_T150_SE_REP1);35a62af6b146f22229134d3b6ec350a7;3;21428477;2;38925;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (OSMOTIC_STRESS_T150_SE_REP1);1d8357bbfbcc0891d2b82849efbb71f1;2;9068670;2;597;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (OSMOTIC_STRESS_T0_PE_REP1);062ece0964a176c951702f6dcc3478ff;3;21459245;2;64309;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (OSMOTIC_STRESS_T150_SE_REP1);0dca7e6edc1303ca89c647dcfdeb5797;2;9068670;2;434;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (OSMOTIC_STRESS_T0_PE_REP1);0ef6889e4fbf82c111485084e908d4ab;2;9099438;2;627;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (OSMOTIC_STRESS_T15_PE_REP1);e5840bea0c42066935f306ccb4189280;3;30791984;2;72587;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (OSMOTIC_STRESS_T15_PE_REP1);603f42189408cb9bf262dd01a54614cd;2;18432177;2;631;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (OSMOTIC_STRESS_T0_PE_REP1);57f571bcc30a0f327613efbe56c03a01;2;9099438;2;446;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (OSMOTIC_STRESS_T15_PE_REP1);6b4e0898d51dee7e68e608d6e3eef8d3;2;18432177;2;460;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:SAMTOOLS_SORT (OSMOTIC_STRESS_T0_PE_REP1);34835df1574b97a3c22171bbd67b5901;1;4870306;2;5572426;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (OSMOTIC_STRESS_T100_SE_REP1);0f40c697fabf27f2cfec1007b0877892;2;2376515;2;576;2
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (OSMOTIC_STRESS_T100_SE_REP1);16b247764748290e6cf5be93d7f111ef;2;2376515;2;411;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_DEEPTOOLS_PLOTFINGERPRINT (OSMOTIC_STRESS_T100_SE_REP1);0860b9f9197af86fddd9afa8d26a66a6;2;2376515;4;384687;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (OSMOTIC_STRESS_T100_SE_REP1);3d7b41bb53ee55704cc50968cdc4e912;3;14736322;2;27630;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:MACS2_CALLPEAK (OSMOTIC_STRESS_T100_SE_REP1);bd614d8003a9567ea3b32406942b5168;1;2363067;4;303397;7
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:SAMTOOLS_SORT (OSMOTIC_STRESS_T0_PE_REP2);c0a1d9a42907bc60d341838087122cba;1;4168822;2;4798460;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:SAMTOOLS_INDEX (OSMOTIC_STRESS_T150_SE_REP1);01805df18a4b7fc74a5a561144fb4456;1;5508537;2;9727;4
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_PICARD_COLLECTMULTIPLEMETRICS (OSMOTIC_STRESS_T150_SE_REP1);9fcaeaf0597fe8fbe7ba39b543296e0c;3;17868756;9;32223;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:SAMTOOLS_SORT (OSMOTIC_STRESS_T15_PE_REP1);127ac50861b688efeb2a40cba28b7891;1;11473861;2;13790921;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (OSMOTIC_STRESS_T100_SE_REP2);a000063f411412cfb629bd6824b860b7;2;1954859;2;576;2
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (OSMOTIC_STRESS_T100_SE_REP2);eb009b6c57a7768cdce2e9aa0f48682f;2;1954859;2;410;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (OSMOTIC_STRESS_T100_SE_REP2);ab5274f2c667f6a3b89f9a5009cabd6d;3;14314666;2;27816;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:MACS2_CALLPEAK (OSMOTIC_STRESS_T100_SE_REP2);2b271aa46e2cd9bf933fb9104350d10f;1;1940531;4;218821;7
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_DEEPTOOLS_PLOTFINGERPRINT (OSMOTIC_STRESS_T100_SE_REP2);f1f6a216d637848bca545240fc72480e;2;1954859;4;384535;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_REMOVE_ORPHANS (OSMOTIC_STRESS_T0_PE_REP1);f1ed8f5cfb58a26729df2350a4e3788c;1;5572340;2;5517195;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BAM_TO_BIGWIG:BEDTOOLS_GENOMECOV (OSMOTIC_STRESS_T100_SE_REP1);e93bbe2e1797d5d2ec21cdd9aba18f91;2;2363534;3;1950077;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_REMOVE_ORPHANS (OSMOTIC_STRESS_T0_PE_REP2);18c3f7a57d56f61626be7462e5dab6e4;1;4798374;2;4713599;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:HOMER_ANNOTATEPEAKS (OSMOTIC_STRESS_T100_SE_REP1);4ca2b5721e1c988464edfb1398f93b50;3;24486679;2;181512;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_ATAQV_ATAQV (OSMOTIC_STRESS_T100_SE_REP1);3b5115744a6184b100c8e0769215d9ba;5;4814810;2;280519;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BAM_TO_BIGWIG:BEDTOOLS_GENOMECOV (OSMOTIC_STRESS_T100_SE_REP2);597ca82e7f627101735091383e2b80b1;2;1940998;3;1528407;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:FRIP_SCORE (OSMOTIC_STRESS_T100_SE_REP1);26ab72edf677f5504780b08e639632b9;2;2452368;2;152;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (OSMOTIC_STRESS_T150_SE_REP1);1bc7e1e2de1e4bd5dc14ca81e0165da8;2;5518177;2;415;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (OSMOTIC_STRESS_T150_SE_REP1);865eadee90b9859f9a7b9889dcdb724a;3;17877984;2;29144;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (OSMOTIC_STRESS_T150_SE_REP1);6c5e4b6df890b0530a14a612a9509029;2;5518177;2;580;2
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_DEEPTOOLS_PLOTFINGERPRINT (OSMOTIC_STRESS_T150_SE_REP1);0b748adf1595ad8699442d490954d470;2;5518177;4;384974;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:MACS2_CALLPEAK (OSMOTIC_STRESS_T150_SE_REP1);4c92f9275368c0f4d48fefef4fac9fe4;1;5508537;4;480978;7
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_REMOVE_ORPHANS (OSMOTIC_STRESS_T15_PE_REP1);9e6ea4e439d9c22294aa0a697b2f9d0a;1;13790835;2;13694577;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:HOMER_ANNOTATEPEAKS (OSMOTIC_STRESS_T100_SE_REP2);2bda1fa379b293127b305fbb2c17231f;3;24462437;2;132371;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_ATAQV_ATAQV (OSMOTIC_STRESS_T100_SE_REP2);4b80336fb5ed98cc3faadda05d3c6f51;5;4615876;2;252211;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:FRIP_SCORE (OSMOTIC_STRESS_T100_SE_REP2);8a6ff354b968792e01b153321df46cb1;2;2005590;2;152;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (OSMOTIC_STRESS_T0_PE_REP1);806b235ba8040d2ff53070318a670aa0;1;5517102;2;4748500;12
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (OSMOTIC_STRESS_T0_PE_REP2);31ef26834b95a05f46a219180c476168;1;4713506;2;4037366;12
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BAM_TO_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (OSMOTIC_STRESS_T100_SE_REP1);990b6a98b61ce880af184d490dd323b4;2;1950153;2;627722;3
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BAM_TO_BIGWIG:BEDTOOLS_GENOMECOV (OSMOTIC_STRESS_T150_SE_REP1);1978f07a292a4bbeeb47ca8a52157dce;2;5509008;3;4946960;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:HOMER_ANNOTATEPEAKS (OSMOTIC_STRESS_T150_SE_REP1);db57b21548306c9924a1681a4c79c9a5;3;24538822;2;286237;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:FRIP_SCORE (OSMOTIC_STRESS_T150_SE_REP1);9fef3bf40f6170a591db9c8149c80704;2;5649981;2;152;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_ATAQV_ATAQV (OSMOTIC_STRESS_T150_SE_REP1);fb069d8e03852e93a7615c5fc2d1f53f;5;9420361;2;341009;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:MULTIQC_CUSTOM_PEAKS (OSMOTIC_STRESS_T100_SE_REP1);75e8781245848c7bf6cb48d790175f18;4;90245;3;1085;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (OSMOTIC_STRESS_T15_PE_REP1);c9c1280ea546e8886964189ffc037500;1;13694484;2;11175317;10
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:MULTIQC_CUSTOM_PEAKS (OSMOTIC_STRESS_T100_SE_REP2);ec128e366cfc319460954ac56794720d;4;66003;3;1085;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (OSMOTIC_STRESS_T0_PE_REP1);503dee8e0c9b7ea98261cf044793aa8c;1;4748390;2;10239;4
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_PICARD_COLLECTMULTIPLEMETRICS (OSMOTIC_STRESS_T0_PE_REP1);69f13369e253ed5a6e64137ec26c132e;3;17108609;11;59784;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BAM_TO_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (OSMOTIC_STRESS_T100_SE_REP2);b9421513e1c11f46906b912df51cfbc9;2;1528483;2;527035;3
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BAM_TO_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (OSMOTIC_STRESS_T150_SE_REP1);756ed5e3b53bd1d1fe81a1b8b5eda828;2;4947036;2;1302518;3
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (OSMOTIC_STRESS_T0_PE_REP2);52e1f0ac2e7e7ee10a7dc313b8071770;1;4037256;2;11775;4
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_PICARD_COLLECTMULTIPLEMETRICS (OSMOTIC_STRESS_T0_PE_REP2);9fa2223dccb52c4b440b4c1c44f59471;3;16397475;11;62040;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BIGWIG_PLOT_DEEPTOOLS:DEEPTOOLS_COMPUTEMATRIX_REFERENCE_POINT (OSMOTIC_STRESS_T100_SE_REP1);6723956ed4468dac480b2ccddaea83d6;2;837824;3;16383897;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BIGWIG_PLOT_DEEPTOOLS:DEEPTOOLS_COMPUTEMATRIX_SCALE_REGIONS (OSMOTIC_STRESS_T100_SE_REP1);be9b56b7bd72657dfa8a4855e6af7efc;2;1028245;3;19486128;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:MULTIQC_CUSTOM_PEAKS (OSMOTIC_STRESS_T150_SE_REP1);b512c585dfa51492074304b754f9ae2b;4;142388;3;1086;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (OSMOTIC_STRESS_T15_PE_REP1);34abe202ab591a3d16e1eaf36060bd30;1;11175207;2;10319;4
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_PICARD_COLLECTMULTIPLEMETRICS (OSMOTIC_STRESS_T15_PE_REP1);77f58fa2f28f71f580a69f3696929329;3;23535426;11;62953;1
NFCORE_ATACSEQ:ATACSEQ:PICARD_MERGESAMFILES_REPLICATE (OSMOTIC_STRESS_T100_SE);33d8a59e70b51b86daa93da450e3c662;2;4303598;2;4339592;1
NFCORE_ATACSEQ:ATACSEQ:PICARD_MERGESAMFILES_REPLICATE (OSMOTIC_STRESS_T0_PE);6664f005181c761d802d41167e0f4f6d;2;8785646;2;8845494;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_DEEPTOOLS_PLOTFINGERPRINT (OSMOTIC_STRESS_T0_PE_REP1);44ed6483536a0e3ec4fce6e844b8d696;2;4758518;4;384617;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:MACS2_CALLPEAK (OSMOTIC_STRESS_T0_PE_REP1);493da0306a1ac9ffd2a839487bb9e4e1;1;4748390;4;266108;7
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BIGWIG_PLOT_DEEPTOOLS:DEEPTOOLS_COMPUTEMATRIX_REFERENCE_POINT (OSMOTIC_STRESS_T150_SE_REP1);393dcfcac3f02fb58e12a6244dcf1afa;2;1512620;3;21511189;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BIGWIG_PLOT_DEEPTOOLS:DEEPTOOLS_COMPUTEMATRIX_SCALE_REGIONS (OSMOTIC_STRESS_T150_SE_REP1);f07633d37a56a1ebeef146a89633a5b5;2;1703041;3;25592951;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BIGWIG_PLOT_DEEPTOOLS:DEEPTOOLS_COMPUTEMATRIX_REFERENCE_POINT (OSMOTIC_STRESS_T100_SE_REP2);47c8178218ec314efbf8a19b0943aa4b;2;737137;3;15471238;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BIGWIG_PLOT_DEEPTOOLS:DEEPTOOLS_COMPUTEMATRIX_SCALE_REGIONS (OSMOTIC_STRESS_T100_SE_REP2);ec0fed80c1a997e26858c5c7f7d8c128;2;927558;3;18388376;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_DEEPTOOLS_PLOTFINGERPRINT (OSMOTIC_STRESS_T0_PE_REP2);50fa05a14252f01a149cdf0fe3b8f3df;2;4048920;4;384511;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:MACS2_CALLPEAK (OSMOTIC_STRESS_T0_PE_REP2);793cd19a09211e05ec4be1a9f8bdcf3b;1;4037256;4;189589;7
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_DEEPTOOLS_PLOTFINGERPRINT (OSMOTIC_STRESS_T15_PE_REP1);e4b62312e76e84e5331dc70d7e772f4e;2;11185415;4;384828;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:MACS2_CALLPEAK (OSMOTIC_STRESS_T15_PE_REP1);f0079c40c8f6d80ecfd1a502b3b42eed;1;11175207;4;432187;7
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (OSMOTIC_STRESS_T0_PE_REP1);e44dcfec7569bf072bc68557ca62f9b3;2;4758518;2;625;2
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (OSMOTIC_STRESS_T0_PE_REP1);1aeed1ce264e2c6e06db6afd965a5304;2;4758518;2;438;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (OSMOTIC_STRESS_T0_PE_REP1);9aec3322085e327cba4d3503b510b03b;3;17118325;2;56876;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (OSMOTIC_STRESS_T0_PE_REP2);82aed2a999a286940f56ccd26fde7404;2;4048920;2;437;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (OSMOTIC_STRESS_T0_PE_REP2);47762b714e40280c357ea945c58a266c;2;4048920;2;625;2
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (OSMOTIC_STRESS_T0_PE_REP2);7ee17d5d2949c01476a46910b2633319;3;16408727;2;60347;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (OSMOTIC_STRESS_T15_PE_REP1);d16a5df71626b3d3460e2063fd08d2e1;2;11185415;2;634;2
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (OSMOTIC_STRESS_T15_PE_REP1);db06c74b54cd1f095144ea54700acdd8;2;11185415;2;448;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_FILTER_BAM:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (OSMOTIC_STRESS_T15_PE_REP1);7fbb890cd0216e48e5fa396f9bbceb38;3;23545222;2;62535;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:HOMER_ANNOTATEPEAKS (OSMOTIC_STRESS_T0_PE_REP1);f87bc00e6f965b178702cd12a78fa4a7;3;24476425;2;162407;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_ATAQV_ATAQV (OSMOTIC_STRESS_T0_PE_REP1);0a355bd5fd6ffb4b795cd95f029557cf;5;9388732;2;308710;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:FRIP_SCORE (OSMOTIC_STRESS_T0_PE_REP1);945c5fdec6239d06ea6df48fbce2fc62;2;4827437;2;150;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (OSMOTIC_STRESS_T100_SE);42ef905007a9fa668c2f509f5911ab74;3;16699736;3;4328256;8
NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (OSMOTIC_STRESS_T0_PE);41e25dcd289481d5502c6d0975df9372;3;21205638;3;8830586;8
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BAM_TO_BIGWIG:BEDTOOLS_GENOMECOV (OSMOTIC_STRESS_T0_PE_REP1);623dbdb9d0e29608ca833bd9ea74c4a0;2;4748882;3;1877563;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BAM_TO_BIGWIG:BEDTOOLS_GENOMECOV (OSMOTIC_STRESS_T0_PE_REP2);65fce4de17796eb6925166d89b3bedd1;2;4037748;3;1513170;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BAM_TO_BIGWIG:BEDTOOLS_GENOMECOV (OSMOTIC_STRESS_T15_PE_REP1);05864b8bdd1d66e03c139f02ec1d2cf1;2;11175708;3;4703856;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:MULTIQC_CUSTOM_PEAKS (OSMOTIC_STRESS_T0_PE_REP1);f6f4691a4001836aef360d4202769b5d;4;79989;3;1081;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:HOMER_ANNOTATEPEAKS (OSMOTIC_STRESS_T15_PE_REP1);8ef3c0f091d56e387c1c7183838e25b5;3;24524499;2;258524;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_ATAQV_ATAQV (OSMOTIC_STRESS_T15_PE_REP1);27614569b10d23e880b2bf531eab5f88;5;18769545;2;366736;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:FRIP_SCORE (OSMOTIC_STRESS_T15_PE_REP1);32281631d20aeb0f9b076c6611f0f197;2;11302328;2;151;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:HOMER_ANNOTATEPEAKS (OSMOTIC_STRESS_T0_PE_REP2);5101c783525e17fb52aeb0a88dd520e7;3;24453580;2;115662;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:FRIP_SCORE (OSMOTIC_STRESS_T0_PE_REP2);887bf66a6faa1f2a90a8cdde6fd03eba;2;4093458;2;149;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_ATAQV_ATAQV (OSMOTIC_STRESS_T0_PE_REP2);370db2f6fb48df75cbf68705965c5b4f;5;9264725;2;283961;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:PLOT_MACS2_QC;8fe753c978208eecd8a574b722548339;6;558174;3;147689;0
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BAM_TO_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (OSMOTIC_STRESS_T0_PE_REP1);8148fe7de503b59fa961b9a26912e3f6;2;1877639;2;632027;3
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CONSENSUS_PEAKS:MACS2_CONSENSUS (consensus_peaks);88011748f2f48e6e9cb9aa6f4850b68c;6;558174;6;600019;3
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BAM_TO_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (OSMOTIC_STRESS_T0_PE_REP2);650707974e1bcd343b7ebec5bf3a7316;2;1513246;2;531725;3
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BAM_TO_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (OSMOTIC_STRESS_T15_PE_REP1);e76e9a5c8f60f2232f0bcfbd52a8122d;2;4703932;2;1237310;3
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:MULTIQC_CUSTOM_PEAKS (OSMOTIC_STRESS_T15_PE_REP1);5dc3d55a85ed24127278c75e80be2c76;4;128064;3;1084;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CALL_ANNOTATE_PEAKS:MULTIQC_CUSTOM_PEAKS (OSMOTIC_STRESS_T0_PE_REP2);8d5b0769e3061fb3d8e20389807418ed;4;57143;3;1080;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (OSMOTIC_STRESS_T100_SE);1dc723d5a413f373f4f1f26e373aef23;1;4326301;2;10924;3
NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_CALL_ANNOTATE_PEAKS:MACS2_CALLPEAK (OSMOTIC_STRESS_T100_SE);81fd84a28d07973d863c40a5c6673dfa;1;4326301;4;380534;6
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BIGWIG_PLOT_DEEPTOOLS:DEEPTOOLS_COMPUTEMATRIX_SCALE_REGIONS (OSMOTIC_STRESS_T0_PE_REP1);5f01ec06bc104001b12a26bb1530cd18;2;1032550;3;18019598;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BIGWIG_PLOT_DEEPTOOLS:DEEPTOOLS_COMPUTEMATRIX_REFERENCE_POINT (OSMOTIC_STRESS_T0_PE_REP1);10c18bc97f5936475c690ea1a99988e7;2;842129;3;15154308;1
NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_CALL_ANNOTATE_PEAKS:MACS2_CALLPEAK (OSMOTIC_STRESS_T0_PE);fcc19e1774bab7126fa27fe0b1ff27ca;1;8828560;4;326680;6
