name;hash;path;type;size
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T100_SE_REP1_T1);98c467f3105b0cc0ffbfa2247321f42f;/storage/nf-core/exec/nextflow_workflow_tracer/work/98/c467f3105b0cc0ffbfa2247321f42f/versions.yml;f;85
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T0_PE_REP1_T1);9f2861981605bdd03e778b2013d8dec4;/storage/nf-core/exec/nextflow_workflow_tracer/work/9f/2861981605bdd03e778b2013d8dec4/OSMOTIC_STRESS_T0_PE_REP1_T1_1_fastqc.html;f;637620
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T0_PE_REP1_T1);9f2861981605bdd03e778b2013d8dec4;/storage/nf-core/exec/nextflow_workflow_tracer/work/9f/2861981605bdd03e778b2013d8dec4/OSMOTIC_STRESS_T0_PE_REP1_T1_2_fastqc.html;f;651669
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T0_PE_REP1_T1);9f2861981605bdd03e778b2013d8dec4;/storage/nf-core/exec/nextflow_workflow_tracer/work/9f/2861981605bdd03e778b2013d8dec4/OSMOTIC_STRESS_T0_PE_REP1_T1_1_fastqc.zip;f;488215
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T0_PE_REP1_T1);9f2861981605bdd03e778b2013d8dec4;/storage/nf-core/exec/nextflow_workflow_tracer/work/9f/2861981605bdd03e778b2013d8dec4/OSMOTIC_STRESS_T0_PE_REP1_T1_2_fastqc.zip;f;494938
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T0_PE_REP1_T1);9f2861981605bdd03e778b2013d8dec4;/storage/nf-core/exec/nextflow_workflow_tracer/work/9f/2861981605bdd03e778b2013d8dec4/versions.yml;f;85
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T0_PE_REP2_T1);cc806d07df866c8d6084ee2f1da50aea;/storage/nf-core/exec/nextflow_workflow_tracer/work/cc/806d07df866c8d6084ee2f1da50aea/OSMOTIC_STRESS_T0_PE_REP2_T1_1_fastqc.html;f;634885
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T0_PE_REP2_T1);cc806d07df866c8d6084ee2f1da50aea;/storage/nf-core/exec/nextflow_workflow_tracer/work/cc/806d07df866c8d6084ee2f1da50aea/OSMOTIC_STRESS_T0_PE_REP2_T1_2_fastqc.html;f;645444
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T0_PE_REP2_T1);cc806d07df866c8d6084ee2f1da50aea;/storage/nf-core/exec/nextflow_workflow_tracer/work/cc/806d07df866c8d6084ee2f1da50aea/OSMOTIC_STRESS_T0_PE_REP2_T1_1_fastqc.zip;f;487836
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T0_PE_REP2_T1);cc806d07df866c8d6084ee2f1da50aea;/storage/nf-core/exec/nextflow_workflow_tracer/work/cc/806d07df866c8d6084ee2f1da50aea/OSMOTIC_STRESS_T0_PE_REP2_T1_2_fastqc.zip;f;490938
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T0_PE_REP2_T1);cc806d07df866c8d6084ee2f1da50aea;/storage/nf-core/exec/nextflow_workflow_tracer/work/cc/806d07df866c8d6084ee2f1da50aea/versions.yml;f;85
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:TSS_EXTRACT;0083adabc7459075fa4cb3778a7db51b;/storage/nf-core/exec/nextflow_workflow_tracer/work/00/83adabc7459075fa4cb3778a7db51b/genes.tss.bed;f;210193
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:TSS_EXTRACT;0083adabc7459075fa4cb3778a7db51b;/storage/nf-core/exec/nextflow_workflow_tracer/work/00/83adabc7459075fa4cb3778a7db51b/versions.yml;f;66
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T100_SE_REP1_T1);86eea0f9ef5b6f79483cdfa4b1a8f8a6;/storage/nf-core/exec/nextflow_workflow_tracer/work/86/eea0f9ef5b6f79483cdfa4b1a8f8a6/OSMOTIC_STRESS_T100_SE_REP1_T1_trimmed.fq.gz;f;5042983
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T100_SE_REP1_T1);86eea0f9ef5b6f79483cdfa4b1a8f8a6;/storage/nf-core/exec/nextflow_workflow_tracer/work/86/eea0f9ef5b6f79483cdfa4b1a8f8a6/OSMOTIC_STRESS_T100_SE_REP1_T1.fastq.gz_trimming_report.txt;f;3027
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T100_SE_REP1_T1);86eea0f9ef5b6f79483cdfa4b1a8f8a6;/storage/nf-core/exec/nextflow_workflow_tracer/work/86/eea0f9ef5b6f79483cdfa4b1a8f8a6/OSMOTIC_STRESS_T100_SE_REP1_T1_trimmed_fastqc.html;f;657298
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T100_SE_REP1_T1);86eea0f9ef5b6f79483cdfa4b1a8f8a6;/storage/nf-core/exec/nextflow_workflow_tracer/work/86/eea0f9ef5b6f79483cdfa4b1a8f8a6/OSMOTIC_STRESS_T100_SE_REP1_T1_trimmed_fastqc.zip;f;471270
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T100_SE_REP1_T1);86eea0f9ef5b6f79483cdfa4b1a8f8a6;/storage/nf-core/exec/nextflow_workflow_tracer/work/86/eea0f9ef5b6f79483cdfa4b1a8f8a6/versions.yml;f;111
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T100_SE_REP2_T1);4fab9528cff47e21e136be3b4e0cbf48;/storage/nf-core/exec/nextflow_workflow_tracer/work/4f/ab9528cff47e21e136be3b4e0cbf48/OSMOTIC_STRESS_T100_SE_REP2_T1_trimmed.fq.gz;f;5040722
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T100_SE_REP2_T1);4fab9528cff47e21e136be3b4e0cbf48;/storage/nf-core/exec/nextflow_workflow_tracer/work/4f/ab9528cff47e21e136be3b4e0cbf48/OSMOTIC_STRESS_T100_SE_REP2_T1.fastq.gz_trimming_report.txt;f;2995
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T100_SE_REP2_T1);4fab9528cff47e21e136be3b4e0cbf48;/storage/nf-core/exec/nextflow_workflow_tracer/work/4f/ab9528cff47e21e136be3b4e0cbf48/OSMOTIC_STRESS_T100_SE_REP2_T1_trimmed_fastqc.html;f;662314
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T100_SE_REP2_T1);4fab9528cff47e21e136be3b4e0cbf48;/storage/nf-core/exec/nextflow_workflow_tracer/work/4f/ab9528cff47e21e136be3b4e0cbf48/OSMOTIC_STRESS_T100_SE_REP2_T1_trimmed_fastqc.zip;f;478181
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (OSMOTIC_STRESS_T100_SE_REP2_T1);4fab9528cff47e21e136be3b4e0cbf48;/storage/nf-core/exec/nextflow_workflow_tracer/work/4f/ab9528cff47e21e136be3b4e0cbf48/versions.yml;f;111
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (OSMOTIC_STRESS_T150_SE_REP1_T1);d5638d8e7589bb1360e4d44f93e0dc76;/storage/nf-core/exec/nextflow_workflow_tracer/work/d5/638d8e7589bb1360e4d44f93e0dc76/OSMOTIC_STRESS_T150_SE_REP1_T1_fastqc.html;f;636593
